"NDB_No" "Amount" "Measure" "Ingredient"
1001 1.5 "Tbs" "Butter, salted"
11238 0.75 "lb" "Mushrooms, shiitake, raw"
11144 0.25 "cup" "Celery, cooked, boiled, drained, without salt"
1001 2 "Tbs" "Butter, salted"
20082 3 "Tbs" "Wheat flour, white, all-purpose, self-rising, enriched"
1211 1 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
1123 3 "lrg" "Egg, whole, raw, fresh"
