"Amount" "Unit" "NDB_No" "Ingredient"
"1" 0.5 "cup" 20068 "Tapioca, pearl, dry"
"2" 4 "cup" 1077 "Milk, whole, 3.25% milkfat, with added vitamin D"
"3" 1.5 "Tbs" 1001 "Butter, salted"
"4" 2 "lrg" 1123 "Egg, whole, raw, fresh"
"5" 0.33 "cup" 19335 "Sugars, granulated"
"6" 1.5 "Tbs" 9152 "Lemon juice, raw"
"7" 4 "Tbs" 19335 "Sugars, granulated"
"8" 1 "tsp" 2050 "Vanilla extract"
