"Amount"	"Measure"	"NDB_No"	"Ingredient"
2	"cup"	20447	"Rice, white, long-grain, parboiled, unenriched, cooked"
1.33	"cup"	1077	"Milk, whole, 3.25% milkfat, with added vitamin D"
6	"Tbs"	19335	"Sugars, granulated"
2	"Tbs"	1001	"Butter, salted"
2	"lrg"	1123	"Egg, whole, raw, fresh"
1	"tsp"	2050	"Vanilla extract"
