"Amount" 	"Measure" 	"Ingredient"
1 	"ea" 	"cauliflower, fresh, medium head, 5 to 6"
2 	"Tbs" 	"butter,salted"
1.5 	"Tbs" 	"flour, allpurpose,self rising, enriched"
1 	"cup" 	"milk, whole, 3.25%"
0.25 	"cup" 	"bread crumbs, plain, dry, grated"
2 	"Tbs" 	"butter, salted"
