"Amount" "Unit" "NDB_No" "Ingredient"
"1" 0.5 "cup" 20068 "Tapioca, pearl, dry"
"2" 4 "cup" 1077 "Milk, whole, 3.25% milkfat, with added vitamin D"
"3" 5 "lrg" 1123 "Egg, whole, raw, fresh"
"4" 0.75 "cup" 19335 "Sugars, granulated"
"5" 1.5 "Tbs" 9152 "Lemon juice, raw"
