"NDB_NO" "Amount" "Unit" "Ingredient"
23572 12 "oz" "Beef, ground, 80% lean meat / 20% fat, raw"
23562 12 "oz" "Beef, ground, 90% lean meat / 10% fat, raw"
11282 1.5 "cup" "Onions, raw"
18079 1 "cup" "Bread, crumbs, dry, grated, plain"
11935 0.67 "cup" "Catsup"
1123 3 "lrg" "Egg, whole, raw, fresh"
