"Amount"	"Measure"	"Ingredient"	"NDB_No"
1	"qt"	"Mollusks, oyster, eastern, canned"	15170
2	"cup"	"Crackers, saltines (includes oyster, soda, soup)"	18228
1	"cup"	"Bread, crumbs, dry, grated, plain"	18079
0.75	"cup"	"Butter, salted"	1001
1	"cup"	"Cream, fluid, heavy whipping"	1053
