"Amount" "Measure" "Ingredient"
2.25 "tsp" "gelatin,dry,unsweetened"
0.25 "cup" "water,generic"
20 "oz" "pineapple,canned,crushed,in juice"
1 "cup" "sugar,white,granulated,granulated"
1 "cup" "cream,whipping,heavy"
0.5 "tsp" "extract,vanilla"
