"Amount"	"Measure"	"Ingredient"	"NDB_No"
2.5	"cup"	"Wheat flour, white, all-purpose, self-rising, enriched"	20082
0.75	"cup"	"Lard"	4002
3	"Tbs"	"Butter, salted"	1001
2.5	"lb"	"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"	9003
0.75	"cup"	"Sugars, granulated"	19335
2	"Tbs"	"Wheat flour, white, all-purpose, self-rising, enriched"	20082
2	"Tbs"	"Butter, salted"	1001
2	"tsp"	"Sugars, granulated"	19335
