"NDB_NO" "Amount" "Measure" "Ingredient"
19335 0.5 "cup" "Sugars, granulated"
1077 2 "cup" "Milk, whole, 3.25% milkfat, with added vitamin D"
1125 3 "ea" "Egg, yolk, raw, fresh"
2050 0.5 "tsp" "Vanilla extract"
14555 1 "Tbs" "Water, bottled, generic"
