"Amount"	"Measure"	"Ingredient"
2	"Tbs"	"butter, salted"
0.5	"cup"	"rice, white, dry, long grain, enriched"
2	"cup"	"stock, chicken, prepared from recipe"
0.25	"cup"	"cheese, parmesan, grated"
