"Amount"	"Measure"	"Ingredient"
1.75	"lb"	"Peaches, frozen, sliced, sweetened"
0.5	"cup"	"Sugars, granulated"
2	"Tbs"	"Cornstarch"
1.75	"cup"	"Wheat flour, white, all-purpose, self-rising, enriched"
4	"Tbs"	"Butter, salted"
0.75	"cup"	"Butter, salted"
1	"Tbs"	"Cream, fluid, heavy whipping"
2	"tsp"	"Butter, salted"
