"Amount" "Measure" "NDB_No" "Ingredient"
0.5 "lb" 10123 "Pork, cured, bacon, unprepared"
3 "Tbs" 2048 "Vinegar, cider"
1 "Tbs" 19908 "Sugar, turbinado"
3 "cup" 11109 "Cabbage, raw"
