"Amount" "Measure" "NDB_No" "Ingredient"
1 "cup" 20046 "Rice, white, long-grain, parboiled, enriched, dry"
6 "cup" 1211 "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
4 "Tbs" 19335 "Sugars, granulated"
