"Amount"	"Measure"	"Ingredient"
5	"lrg"	"Egg,whole,raw,fresh"
1	"lb"	"Asparagus,canned,drained solids"
6	"Tbs"	"Butter,salted"
4	"Tbs"	"Wheat flour,white, all-purpose,self-rising,enriched"
2	"cup"	"Cream, fluid,heavy whipping"
0.5	"cup"	"Bread,crumbs,dry,grated, plain"
