"Amount" "Unit" "Ingredient"
"1" 1.5 "cup" "milk, whole, 3.25%"
"2" 4 "Irg" "egg, raw"
"3" 0.5 "cup" "butter, salted"
"4" 1.5 "Tbs" "juice, lemon, fresh"
"5" 3 "ea" "eggyolk, raw, large"
"6" 30 "ea" "asparagus tips, fresh"
