"Amount"	"Measure"	"Ingredient"	"NDB"
4	"oz"	"Pasta mix, classic cheeseburger macaroni, unprepared"	32001
0.5	"cup"	"Cream, fluid, heavy whipping"	1053
0.5	"cup"	"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)"	1009
