"Amount" "Measure" "Ingredient" "NDB_No"
"1" 6 "medium (2-1/4\" to 3-1/4\" dia.)" "Potatoes, boiled, cooked without skin, flesh, without salt" 11367
"2" 1 "medium (approx 2-3/4\" long, 2-1/2\" dia)" "Peppers, sweet, green, raw" 11333
"3" 1 "medium (2-1/2\" dia)" "Onions, raw" 11282
"4" 0.0625 "cup" "Wheat flour, white, all-purpose, self-rising, enriched" 20082
"5" 1 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
"6" 0.25 "cup" "Bread, crumbs, dry, grated, plain" 18079
"7" 6 "tbsp" "Butter, salted" 1001
