"Recipe" "Year" "Amount" "Unit" "Ingredient" "ndb"
"Ham Loaf" 2006 2 "cup" "HAM,DICED" 7026
"Ham Loaf" 2006 0.5 "cup" "BREAD,SEASONED,DRY,CRUMBS" 18376
"Ham Loaf" 2006 2 "whole" "EGGS" 43285
"Ham Loaf" 2006 3 "tsp" "MUSTARD,PREPARED" 2046
