"Amount"	"Measure"	"Ingredient"
2.5	"cup"	"flour, all purpose, self rising, enriched"
1	"cup"	"sugar, white, granulated, granulated"
0.75	"cup"	"oil, canola"
2	"lrg"	"egg, raw"
1	"tsp"	"extract, vanilla"
0.25	"cup"	"sugar, white, granulated, granulated"
