"Amount" "Measure" "Ingredient"
"2" "tbsp" "Butter, salted"
"1.5" "cup" "Wheat flour, white, all-purpose, self-rising, enriched"
"1" "cup" "Milk, whole, 3.25% milkfat, with added vitamin D"
"1" "oz crumbled" "Chicken, ground, raw"
"1" "wedge yields" "Lemon juice, raw"
