"Amount" "Measure" "Ingredient"
1.5 "cup" "asparagus tips, fresh"
2 "Irg" "egg, raw"
0.33 "cup" "bread crumbs, plain, dry, grated"
0.25 "cup" "cheese, swiss, shredded"
3.5 "Tbs" "cream, whipping, heavy"
1 "Tbs" "onion, yellow, fresh, chopped"
