"NDB_No" "Amount" "Measure" "Ingredient"
NA 2 "lb" "potato, red, fresh, with skin, medium, 2 1/4\" to 3 1/4\""
NA 4 "pce" "bacon, raw, cured"
NA 0.25 "cup" "onion, yellow, fresh, chopped"
NA 0.25 "cup" "celery, fresh, diced"
NA 0.25 "cup" "pickles, dill, chopped"
NA 5 "cup" "vinegar, cider"
NA 5 "tsp" "sugar, white, granulated, granulated"
NA 0.25 "cup" "water, generic"
