"NDB_No" "Amount" "Measure" "Ingredient"
1001 3 "tbsp" "Butter, salted"
11367 6 "medium (2-1/4\" to 3-1/4\" dia.)" "Potatoes, boiled, cooked without skin, flesh, without salt"
1077 0.33 "cup" "Milk, whole, 3.25% milkfat, with added vitamin D"
