"Amount" "Measure" "Ingredient" "NDB_No"
1 "qt" "Strawberries, raw" 9316
0.5 "cup" "Sugars, granulated" 19335
2 "tsp" "Gelatins, dry powder, unsweetened" 19177
6 "tbsp" "Beverages, water, tap, drinking" 14411
1 "cup" "Cream, fluid, heavy whipping" 1053
