"Amount" "Measure" "Ingredient" "NDB_No"
2 "lrg" "Egg, whole, raw, fresh" 1123
1.75 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
1 "cup" "Wheat flour, white, cake, enriched" 20084
1 "Tbs" "Sugars, granulated" 19335
1 "cup" "Cornmeal, degermed, enriched, yellow" 20022
5 "Tbs" "Animal fat, bacon grease" 4609
12 "slice" "Pork, cured, bacon, unprepared" 10123
