"Amount"	"Measure"	"Ingredient"	"NDB_No"
1	"pnt"	"Mollusks, oyster, eastern, canned"	15170
6	"Tbs"	"Cream, fluid, heavy whipping"	1053
0.5	"cup"	"Bread, crumbs, dry, grated, plain"	18079
28	"ea"	"Crackers, saltines (includes oyster, soda, soup)"	18228
0.5	"cup"	"Butter, salted"	1001
