"Amount"	"Measure"	"Ingredient"	"NBD_No"
0.5	"cup"	"Wheat flour, white, all-purpose, enriched, bleached"	20081
0.25	"cup"	"Sugars, powdered"	19336
2.5	"cup"	"Milk, whole, 3.25% milkfat, with added vitamin D"	1077
0.25	"cup"	"Butter, without salt"	1145
5	"ea"	"Egg, yolk, raw, frozen, salted, pasteurized"	1160
1	"tsp"	"Vanilla extract"	2050
5	"ea"	"Egg, white, raw, fresh"	1124
0.25	"tsp"	"Salt, table"	2047
