"Amount"	"Measure"	"Ingredient"
1	"cup"	"flour,bread,white,enriched"
1	"lb"	"suet,beef,raw"
1	"lb"	"raisins,without seeds,packed cup"
0.5	"lb"	"candied fruit"
6	"Tbs"	"sugar,white,granulated,granulated"
7	"lrg"	"egg,raw"
4	"Tbs"	"cream,whipping,heavy"
0.5	"cup"	"brandy,90 proof"
3	"cup"	"bread crumbs,plain,dry,grated"
