"Amount" "Measure" "Ingredient"
"1" 1.5 "cup, chopped" "dates, california, chopped"
"2" 2 "cup" "flour, all purpose, self rising, enriched"
"3" 1.25 "cup packed" "sugar, brown, packed"
"4" 6 "tbsp" "butter, salted"
"5" 3 "large" "egg, raw"
"6" 1.5 "tsp" "extract, vanilla"
