"Amount"	"Measure"	"Ingredient"
2	"cup"	"rice, white, cooked, long grain, unenriched"
1.33	"cup"	"milk, whole, 3.25%"
6	"Tbs"	"sugar, white, granulated, granulated"
2	"Tbs"	"butter, salted"
2	"lrg"	"egg, raw"
1	"tsp"	"extract, vanilla"
