"Recipes" "Year" "Amount" "Measure" "NDB_No" "Ingredient"
"Hot Slaw" 2006 0.5 "lb" 10123 "Pork, cured, bacon, unprepared"
"Hot Slaw" 2006 3 "Tbs" 2048 "Vinegar, cider"
"Hot Slaw" 2006 1 "Tbs" 19908 "Sugar, turbinado"
"Hot Slaw" 2006 3 "cup" 11109 "Cabbage, raw"
