"Amount" "Measure" "Ingredient"
12 "oz" "beef, ground, raw, 20% fat"
12 "oz" "beef, ground, raw, 10% fat"
1.5 "cup" "onion, yellow, fresh, chopped"
1 "cup" "bread crumbs, plain, dry, grated"
0.67 "cup" "catsup"
3 "lrg" "egg, raw"
