"Amount" "Measure" "Ingredient"
1 "lb" "beef, ground, raw, 20% fat"
1 "ea" "egg yolk, raw, large"
1 "Tbs" "butter, salted"
0.25 "cup" "butter, salted"
2 "Tbs" "flour, all purpose, self rising, enriched"
