"NDB_No" "Amount" "Measure" "Ingredient"
15121 1 "cup" "Fish, tuna, light, canned in water, drained solids (Includes foods for USDA's Food Distribution Program)"
11143 1 "cup" "Celery, raw"
4025 0.25 "cup" "Salad dressing, mayonnaise, regular"
