"Amount"	"Measure"	"Ingredient"
"1"	2	"cup"	"brussels sprouts, cooked, drained"
"2"	0.5	"ib"	"chestnuts, european, cooked"
"3"	3	"tbs"	"butter, salted"
"4"	0.25	"cup"	"water, generic"
