"NDB_NO" "Amount" "Unit" "Ingredient"
23572 1 "lb" "Beef, ground, 80% lean meat / 20% fat, raw"
1125 1 "ea" "Egg, yolk, raw, fresh"
1001 1 "Tbs" "Butter, salted"
1001 0.25 "cup" "Butter, salted"
20082 2 "Tbs" "Wheat flour, white, all-purpose, self-rising, enriched"
