"Amount"	"Measure"	"Ingredient"	"NDB_No"
1	"ea"	"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"	9003
2.5	"Tbs"	"Sugar, turbinado"	19908
2	"tsp"	"Butter, salted"	1001
