"Amount" "Measure" "Ingredient"
1 "Tbs" "gelatin,dry,unsweetened"
0.25 "cup" "water,generic"
2 "cup" "pineapple,canned,crushed,in juice,drained"
1 "cup" "sugar,white,granulated,granulated"
2 "cup" "cream,whipping,heavy"
