"Amount" "Measure" "Ingredient" "NDB_No"
2 "cup unsifted, dipped" "Wheat flour, white, cake, enriched" 20084
0.75 "tbsp" "Lard" 4002
1 "tbsp" "Butter, salted" 1001
0.75 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
