"Ingredient" "Amount.x" "Measure.x" "Amount.y" "Measure.y"
"1" "extract,vanilla" 0.5 "tsp" 0.75 "tsp"
"2" "milk,whole,3.25%" 2 "cup" 2 "cup"
"3" "sugar,white,granulated,granulated" 0.5 "cup" 0.75 "cup"
"4" "water,generic" 1 "Tbs" 2 "Tbs"
