"Amount"	"Measure"	"Ingredient"	"NBD_No"
1	"lb"	"Spinach,fresh,leaf"	"11459"
2	"tsp"	"butter, salted"	"1001"
2	"tsp"	"onion,yellow,fresh,chopped"	"11287"
1	"tsp"	"flour,all purpose,self rising, enriched"	"20082"
0.5	"tbsp"	"cream,whipping,heavy"	"1053"
0.5	"cup"	"sugar,white,granulated"	"19335"
1	"lrg"	"egg,raw"	"1123"
2	"slice"	"bacon,raw,cured"	"10123"
